order_date,category_name,product_name,product_price,order_qty,total_sales,cust_email,cust_city
2/24/2020,Drone Kits,BYOD-100,54,1,54,ogottschalk7l@vinaora.com#mailto:ogottschalk7l@vinaora.com#,Minneapolis
7/23/2020,Drone Kits,BYOD-100,54,2,108,ameinerrd@google.ca#mailto:ameinerrd@google.ca#,San Francisco
8/21/2020,Drone Kits,BYOD-100,54,2,108,doliverpaullmb@vinaora.com#mailto:doliverpaullmb@vinaora.com#,Fort Wayne
9/5/2020,Drone Kits,BYOD-100,54,2,108,ymayzebv@gravatar.com#mailto:ymayzebv@gravatar.com#,Ridgely
12/28/2020,Drone Kits,BYOD-100,54,2,108,dnockb7@ycombinator.com#mailto:dnockb7@ycombinator.com#,Austin
3/16/2021,Drone Kits,BYOD-100,54,2,108,tfernhk@trellian.com#mailto:tfernhk@trellian.com#,Seattle
3/27/2021,Drone Kits,BYOD-100,54,2,108,cgrethambu@mashable.com#mailto:cgrethambu@mashable.com#,Topeka
7/16/2021,Drone Kits,BYOD-100,54,2,108,jrosgenpy@marriott.com#mailto:jrosgenpy@marriott.com#,Philadelphia
8/31/2021,Drone Kits,BYOD-100,54,2,108,tarchnl@gnu.org#mailto:tarchnl@gnu.org#,Peoria
7/30/2020,Drone Kits,BYOD-100,54,4,216,vnemchinovq7@wiley.com#mailto:vnemchinovq7@wiley.com#,Temple
8/24/2020,Drone Kits,BYOD-100,54,4,216,bjentgese8@deliciousdays.com#mailto:bjentgese8@deliciousdays.com#,Buffalo
4/7/2021,Drone Kits,BYOD-100,54,4,216,gleveringtonkq@sina.com.cn#mailto:gleveringtonkq@sina.com.cn#,Topeka
7/15/2021,Drone Kits,BYOD-100,54,4,216,bwhitemanpf@dailymail.co.uk#mailto:bwhitemanpf@dailymail.co.uk#,Spokane
10/3/2021,Drone Kits,BYOD-100,54,4,216,tprideku@1688.com#mailto:tprideku@1688.com#,Buffalo
12/28/2021,Drone Kits,BYOD-100,54,4,216,gplainak@canalblog.com#mailto:gplainak@canalblog.com#,Philadelphia
3/31/2020,Drone Kits,BYOD-100,54,3,162,gmalbon26@auda.org.au#mailto:gmalbon26@auda.org.au#,Louisville
5/13/2020,Drone Kits,BYOD-100,54,3,162,jyerbornfe@tumblr.com#mailto:jyerbornfe@tumblr.com#,Bronx
5/16/2020,Drone Kits,BYOD-100,54,3,162,cstanionpm@photobucket.com#mailto:cstanionpm@photobucket.com#,Hampton
5/19/2020,Drone Kits,BYOD-100,54,3,162,dsollettq0@1und1.de#mailto:dsollettq0@1und1.de#,Richmond
10/27/2020,Drone Kits,BYOD-100,54,3,162,akeppin4m@addtoany.com#mailto:akeppin4m@addtoany.com#,New Orleans
11/4/2020,Drone Kits,BYOD-100,54,3,162,ibelfelteo@dedecms.com#mailto:ibelfelteo@dedecms.com#,Chicago
12/4/2020,Drone Kits,BYOD-100,54,3,162,ltremellier83@hubpages.com#mailto:ltremellier83@hubpages.com#,Los Angeles
2/11/2021,Drone Kits,BYOD-100,54,3,162,genochef@networkadvertising.org#mailto:genochef@networkadvertising.org#,Zephyrhills
5/24/2021,Drone Kits,BYOD-100,54,3,162,ldomengetg1@nsw.gov.au#mailto:ldomengetg1@nsw.gov.au#,Scottsdale
6/30/2021,Drone Kits,BYOD-100,54,3,162,lgertyan@theguardian.com#mailto:lgertyan@theguardian.com#,Las Vegas
9/8/2021,Drone Kits,BYOD-100,54,3,162,jgreghik@quantcast.com#mailto:jgreghik@quantcast.com#,Tampa
9/18/2021,Drone Kits,BYOD-100,54,3,162,dwoltonay@engadget.com#mailto:dwoltonay@engadget.com#,San Diego
10/13/2021,Drone Kits,BYOD-100,54,3,162,lpetrovicr3@newyorker.com#mailto:lpetrovicr3@newyorker.com#,Roanoke
11/1/2021,Drone Kits,BYOD-100,54,3,162,aouldip@reference.com#mailto:aouldip@reference.com#,Port Charlotte
